,run,test_loss,total_logit_excluded_loss,total_logit_restricted_loss,percent_logits_explained,key_reps,logit_{}_rep_trace_similarity
0,D61_T_seed2,16.25,18.15,1.40e-05,26.85%,"['sign', 'freq_24', 'freq_10', 'freq_4', 'freq_17', 'freq_2', 'freq_13', 'freq_6', 'freq_18', 'freq_28']","['0.45', '0.18', '0.09', '0.10', '0.07', '0.08', '0.03', '0.02', '0.04', '0.01']"
0,D61_T_seed3,5.02e-07,59.43,5.34e-08,51.69%,"['freq_8', 'sign', 'freq_23', 'freq_28']","['0.65', '0.21', '0.15', '0.18']"
0,D61_T_seed4,9.21e-07,29.17,6.76e-08,56.32%,"['freq_2', 'freq_6', 'freq_21', 'freq_13', 'freq_24', 'freq_19']","['0.38', '0.47', '7.34e-03', '0.45', '0.03', '6.98e-03']"
0,S5_MLP_seed1,3.14e-05,11.00,5.48e-08,39.05%,"['sign', 'standard_sign', 'standard', 's5_5d_a']","['0.31', '0.29', '0.41', '0.20']"
0,S5_MLP_seed2,2.94e-06,7.60,6.73e-07,84.81%,"['sign', 'standard']","['0.51', '0.77']"
0,S5_MLP_seed3,4.32e-06,12.13,1.33e-08,59.89%,"['sign', 'standard', 's5_5d_b']","['0.48', '0.60', '0.13']"
0,S5_MLP_seed4,2.25e-06,17.21,1.76e-09,59.25%,"['sign', 'standard']","['0.37', '0.67']"
0,S5_T_seed1,1.42e-07,16.18,1.73e-09,62.85%,"['sign', 'standard_sign']","['0.35', '0.71']"
0,S5_T_seed2,2.41e-07,12.87,7.70e-09,73.46%,"['sign', 'standard_sign']","['0.46', '0.72']"
0,S5_T_seed3,9.39e-08,20.41,1.71e-11,59.06%,"['sign', 'standard']","['0.36', '0.68']"
0,S5_T_seed4,9.51e-08,20.39,1.75e-11,59.07%,"['sign', 'standard']","['0.36', '0.68']"
0,S6_MLP_seed1,5.12e-05,17.01,1.18e-08,34.50%,"['s6_5d_b', 'standard_sign', 's6_5d_a', 'standard']","['0.57', '0.10', '0.07', '0.10']"
0,S6_MLP_seed2,1.36e-05,13.77,1.17e-07,64.15%,"['sign', 'standard', 's6_5d_b']","['0.42', '0.68', '0.06']"
0,S6_MLP_seed3,9.09e-05,17.53,3.46e-08,40.97%,"['sign', 'standard_sign', 's6_5d_a', 's6_5d_b', 'standard']","['0.38', '0.12', '0.10', '0.49', '0.03']"
0,S6_MLP_seed4,4.21e-05,13.78,5.44e-08,56.96%,"['sign', 's6_5d_b', 'standard_sign', 'standard']","['0.44', '0.60', '0.11', '0.06']"
0,S6_T_seed1,2.82e-07,66.40,6.38e-17,44.50%,['s6_5d_b'],['0.67']
