,train_loss,test_loss,train_acc,test_acc,all_loss,logit_trivial_rep_trace_similarity,logit_excluded_loss_trivial_rep,logit_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,logit_s5_5d_a_rep_trace_similarity,logit_excluded_loss_s5_5d_a_rep,logit_restricted_loss_s5_5d_a_rep,logit_s5_5d_b_rep_trace_similarity,logit_excluded_loss_s5_5d_b_rep,logit_restricted_loss_s5_5d_b_rep,logit_s5_6d_rep_trace_similarity,logit_excluded_loss_s5_6d_rep,logit_restricted_loss_s5_6d_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,epoch
81,4.7247771242746985,4.959319981874301,0.01736111007630825,0.0006944444612599909,4.818594267019359,4.1836756e-11,4.724777123861663,4.787491742782046,0.00032455887,4.724861784041972,4.787406978725582,0.0002590385,4.725047564224572,4.787221124412879,0.00037172379,4.725165109062982,4.787103403152545,0.00045459028,4.725370282910852,4.786898104856568,0.00028406485,4.725147810774923,4.78712078802381,0.0005268079,4.725601981626743,4.786666208301952,8.7548966e-07,4.7252497730440615,4.787018639105115,29
373,4.720521168207783,4.979143076459533,0.017592592164874077,0.0005208333604969084,4.823969931654319,-7.4578566e-11,4.720521168423169,4.787491742782046,0.00035023538,4.720620094342602,4.7873926821064225,0.0002754039,4.72083253071832,4.787180149118837,0.0003927793,4.720965110919447,4.787047351710601,0.00047736615,4.721195688011302,4.786816626559737,0.00029878295,4.720943391383641,4.787069186179847,0.0005561955,4.7214642303511285,4.786547821428075,9.792909e-07,4.721064045943003,4.7869482910506225,30
58,4.716210712304612,4.999710063159765,0.018518518656492233,0.00034722223062999547,4.829610452593333,3.45608e-11,4.716210712283177,4.787491742782046,0.00037771818,4.716325420180214,4.787376865030048,0.00029545167,4.7165698670606035,4.787132296032746,0.00041966763,4.716720720445034,4.786981177192077,0.0005038038,4.716976131121004,4.786725585767112,0.00031604728,4.7166909241393435,4.787011112776387,0.0005927902,4.717291407189649,4.786409963256265,1.111188e-06,4.716835428158843,4.786866299446687,31
663,4.711870516363792,5.020768611311319,0.01805555447936058,0.00034722223062999547,4.835429754290251,-7.8216544e-11,4.7118705161234065,4.787491742782046,0.0004063294,4.7120022771197325,4.78735976826916,0.00031859506,4.712284087541216,4.7870778061024994,0.00044838933,4.712452396663531,4.786909173166469,0.0005342242,4.7127372298935875,4.7866241288802,0.00033629674,4.712416173437221,4.786945572063543,0.00063068955,4.713098302793542,4.7862626066784175,1.2639197e-06,4.712584161133898,4.786777198682445,32
506,4.707497558863792,5.0421183865320955,0.018518518656492233,0.00034722223062999547,4.841345889596347,1.0004442e-10,4.707497558228505,4.787491742782046,0.00043717463,4.70764797161438,4.787341059042644,0.00034629475,4.707974561852474,4.787014275549292,0.00047870132,4.708156750333895,4.786831718657832,0.0005650111,4.708470252138777,4.786517958699826,0.00035812924,4.708114165244654,4.786874510603294,0.0006722566,4.708886237008355,4.7861013993258945,1.4396197e-06,4.7083071716254485,4.7866810349184306,33
513,4.703069354927044,5.0631107715719965,0.018518518656492233,0.0005208333604969084,4.847085920847777,1.4551915e-11,4.7030693538492665,4.787491742782046,0.00047373938,4.7032410619240475,4.7873197104339305,0.00037672184,4.7036160222557,4.786944498323648,0.00051262695,4.70381301818927,4.786747080518182,0.0005959918,4.704150264577834,4.786409539341664,0.0003832103,4.703764433474792,4.786795903163465,0.00071644754,4.704628447625096,4.785930630172829,1.6444882e-06,4.703984721230633,4.786575048143629,34
586,4.698527771572866,5.082957045992523,0.01874999888241291,0.00034722223062999547,4.852299481195479,-1.09139364e-10,4.698527771344805,4.787491742782046,0.00051666074,4.698723413924202,4.787295712471441,0.00041118285,4.699151155548476,4.7868676533456505,0.0005511544,4.6993631142882295,4.786655211424772,0.00063083635,4.699723077706588,4.786294901319398,0.00041244205,4.699309363286109,4.7867092389429615,0.0007659553,4.700269186064472,4.785747911441799,1.8945314e-06,4.699558756341499,4.786459181127385,35
532,4.693859053948643,5.10176758454675,0.01944444328546524,0.00017361111531499773,4.85702246593787,-1.9281288e-10,4.693859053486727,4.787491742782046,0.00055895833,4.694078795531247,4.787271552154042,0.0004489235,4.694565636235033,4.7867843022798375,0.0005941385,4.694793937714521,4.786555470440506,0.0006702854,4.695177593805279,4.786171403687195,0.00044739613,4.6947392660080025,4.786610446891682,0.0008227194,4.695800915703979,4.785547016481941,2.1932804e-06,4.695013670096377,4.786335279799284,36
120,4.68906606635223,5.1194193742139245,0.019328704103827477,0.00017361111531499773,4.8612073893252274,-2.0008883e-10,4.68906606619331,4.787491742782046,0.0006037317,4.689311087514046,4.787246197579144,0.0004853965,4.6898547973480955,4.786701998112193,0.00064148934,4.69010814542785,4.7864480418696544,0.0007123988,4.690512830089568,4.786042899583271,0.00048654774,4.690054311339163,4.786502215717663,0.00088495656,4.691222439720458,4.7853320051029975,2.5389993e-06,4.690353167413141,4.786202496693189,37
56,4.684169479479443,5.135614223518179,0.01979166641831398,0.00017361111531499773,4.864747377588849,2.7284841e-11,4.68416948035217,4.787491742782046,0.0006606865,4.684444791303799,4.787215830210397,0.00052276975,4.68504166137793,4.786618380168964,0.0006905823,4.68532132363962,4.786338035082718,0.00076017145,4.685754543460971,4.785904279240499,0.00052693277,4.685268377244654,4.786391339997538,0.0009548089,4.6865582780501835,4.78509903715387,2.9538776e-06,4.685596630472693,4.786062122515923,38
