,train_loss,test_loss,train_acc,test_acc,all_loss,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,logit_s6_5d_a_rep_trace_similarity,logit_excluded_loss_s6_5d_a_rep,logit_restricted_loss_s6_5d_a_rep,logit_s6_5d_b_rep_trace_similarity,logit_excluded_loss_s6_5d_b_rep,logit_restricted_loss_s6_5d_b_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,epoch
532,6.551198326192301,6.626240101615707,0.0025945217348635197,0.0007201646221801639,6.596223391446346,6.0181137e-06,6.55119944739554,6.579250090874792,1.2230023e-05,6.5512097133979,6.5792398201386195,9.7742995e-06,6.551207427931494,6.579242107565073,1.4594838e-05,6.551211918125713,6.5792376173899605,1.7791514e-05,6.55121489566478,6.5792346397906485,8.108753e-10,6.55121489566478,6.5792346397906485,36
120,6.549408683205435,6.631123225020592,0.0025800541043281555,0.0007073045126162469,6.598437408294529,5.9462527e-06,6.549409863447447,6.579250034308834,1.2656306e-05,6.549421216827355,6.579238678608714,1.0510681e-05,6.549419092369212,6.579240803397479,1.5366748e-05,6.549423899817017,6.579235994489446,1.8815832e-05,6.549427312446646,6.579232578900763,8.961869e-10,6.549427312446646,6.579232578900763,37
56,6.547565214833418,6.636102269417374,0.0026475696358829737,0.000675154326017946,6.600687447583792,5.8549977e-06,6.547566439785179,6.579249986172067,1.3078643e-05,6.547578904591416,6.579237520882597,1.1350616e-05,6.547577096205624,6.579239329834811,1.6454167e-05,6.5475824394089805,6.579233987279613,2.0071951e-05,6.547586224950897,6.579230200073766,1.0077912e-09,6.547586224950897,6.579230200073766,38
539,6.545669671306293,6.641093159802444,0.0026475696358829737,0.0006655092583969235,6.602923764403984,5.7972775e-06,6.545670948819431,6.579249936250305,1.3789013e-05,6.545684841558911,6.579236039823181,1.2470973e-05,6.545683389725846,6.579237490075324,1.7603188e-05,6.545689040617221,6.5792318430510175,2.1391303e-05,6.5456932102248615,6.579227674953129,1.1467306e-09,6.5456932102248615,6.579227674953129,39
525,6.543728965684842,6.6460583531049044,0.0027777778450399637,0.0006526491488330066,6.60512659813688,5.80688e-06,6.543730303151445,6.579249875624264,1.4744681e-05,6.543745930930843,6.579234245419478,1.3818095e-05,6.5437448680611086,6.5792353116339966,1.8744842e-05,6.5437505376193155,6.579229642466723,2.2582406e-05,6.543754950152594,6.579225226613975,1.3033994e-09,6.543754950152594,6.579225226613975,40
119,6.5417573821262724,6.65100930833041,0.0027970680966973305,0.0006430041394196451,6.607308537848755,5.6995395e-06,6.541758750635454,6.579249845704542,1.5817024e-05,6.541776336574901,6.57923225355111,1.5141366e-05,6.541775528637669,6.579233063402814,1.9996201e-05,6.541781343947944,6.579227244347822,2.3939445e-05,6.5417860758503785,6.57922251793619,1.484869e-09,6.5417860758503785,6.57922251793619,41
316,6.5397693148543725,6.655915509009725,0.002898341277614236,0.0006655092583969235,6.609457031347585,5.51419e-06,6.539770685764092,6.579249839928236,1.7078119e-05,6.539790560335746,6.579229964480307,1.6619102e-05,6.539789992781936,6.579230535558835,2.1288914e-05,6.539795797838432,6.579224725675781,2.5218696e-05,6.5398006897955225,6.579219836488903,1.6874635e-09,6.5398006897955225,6.579219836488903,42
533,6.537776637703324,6.660747578456494,0.0029465665575116873,0.0006590792327187955,6.611559202155227,5.274218e-06,6.537777998707668,6.579249854169994,1.8373301e-05,6.537800289005913,6.579227561100879,1.8356324e-05,6.537800264745851,6.579227582954212,2.2522843e-05,6.537805628554236,6.579222219633196,2.6613125e-05,6.537810888926959,6.579216954449496,1.917887e-09,6.537810888926959,6.579216954449496,43
492,6.535784578803075,6.665532424115101,0.0029417439363896847,0.0006462191231548786,6.613633285990291,5.0201306e-06,6.535785915054271,6.579249878113546,1.962792e-05,6.535810650660887,6.57922513537903,2.018877e-05,6.535811397850326,6.579224390263587,2.379136e-05,6.5358161845801614,6.579219604055142,2.7873224e-05,6.5358216080088045,6.579214181105781,2.1609887e-09,6.5358216080088045,6.579214181105781,44
421,6.533790852162103,6.670239914348751,0.002989969216287136,0.0006558641907759011,6.615660289474092,4.8909897e-06,6.5337921902219716,6.579249873987289,2.091208e-05,6.533819456704708,6.579222607526784,2.23043e-05,6.533821359163165,6.579220703187218,2.529826e-05,6.533825451635688,6.579216607917978,2.9148794e-05,6.533830721883737,6.579211340987412,2.4483728e-09,6.533830721883737,6.579211340987412,45
